"","CityTown","Nearby T21 Ratio","year"
"860","Bellingham",0.005,2007
"861","Berkley",0.006,2007
"862","Berlin",0.004,2007
"863","Bernardston",0,2007
"864","Beverly",0.006,2007
"865","Billerica",0.005,2007
"866","Blandford",0,2007
"867","Bolton",0.004,2007
"868","Bourne",0.01,2007
"869","Boxborough",0.005,2007
"870","Boxford",0.006,2007
"871","Boylston",0.004,2007
"872","Brookfield",0.005,2007
"873","Burlington",0.005,2007
"874","Carlisle",0.005,2007
"875","Charlton",0.005,2007
"876","Chatham",0,2007
"877","Cheshire",0,2007
"878","Chester",0,2007
"879","Chesterfield",0,2007
"880","Chicopee",0,2007
"881","Chilmark",0,2007
"882","Clarksburg",0,2007
"883","Clinton",0.004,2007
"884","Colrain",0,2007
"885","Conway",0,2007
"886","Cummington",0,2007
"887","Dalton",0,2007
"888","Dartmouth",0.01,2007
"889","Dennis",0,2007
"890","Dighton",0.006,2007
"891","Douglas",0.005,2007
"892","Dracut",0.005,2007
"893","Dudley",0.005,2007
"894","Dunstable",0.005,2007
"895","East Bridgewater",0.005,2007
"896","East Brookfield",0.005,2007
"897","East Longmeadow",0,2007
"898","Easthampton",0,2007
"899","Edgartown",0,2007
"900","Erving",0,2007
"901","Everett",0.005,2007
"902","Fairhaven",0.01,2007
"903","Fall River",0.008,2007
"904","Fitchburg",0.005,2007
"905","Florida",0,2007
"906","Freetown",0.007,2007
"907","Gardner",0.005,2007
"908","Georgetown",0.006,2007
"909","Goshen",0,2007
"910","Gosnold",0,2007
"911","Granby",0,2007
"912","Granville",0,2007
"913","Groton",0.005,2007
"914","Groveland",0.007,2007
"915","Hampden",0,2007
"916","Hancock",0,2007
"917","Hanson",0.005,2007
"918","Hardwick",0.006,2007
"919","Harvard",0.005,2007
"920","Harwich",0,2007
"921","Haverhill",0.007,2007
"922","Hawley",0,2007
"923","Heath",0,2007
"924","Hingham",0.005,2007
"925","Hinsdale",0,2007
"926","Holden",0.005,2007
"927","Holland",0.006,2007
"928","Holliston",0.004,2007
"929","Hopkinton",0.004,2007
"930","Hubbardston",0.005,2007
"931","Huntington",0,2007
"932","Ipswich",0.007,2007
"933","Lakeville",0.006,2007
"934","Lancaster",0.004,2007
"935","Leicester",0.005,2007
"936","Leominster",0.005,2007
"937","Leyden",0,2007
"938","Littleton",0.005,2007
"939","Longmeadow",0,2007
"940","Ludlow",0,2007
"941","Lunenburg",0.005,2007
"942","Lynn",0.005,2007
"943","Lynnfield",0.005,2007
